User_ID;Age;Age_Range;Country;Streaming Platform;Top Genre;Hours Streamed Per Day_Decimal;Number of Songs Liked;Most Played Artist;Subscription Type;Listening Time (Morning/Afternoon/Night);Discover Weekly Engagement %;Discover Weekly_Categories;Repeat Song Rate %;Repeat Song Rate_Categories
U1713;28;Adults;Japan;Spotify;Classical;0,6;246;Ed Sheeran;Premium;Night;26,2;Medium;40,29;Medium
U1714;55;Seniors;India;Spotify;Jazz;2;144;Taylor Swift;Free;Afternoon;11,7;Low;57,54;High
U1715;31;Adults;Japan;YouTube;Reggae;9,9;213;BTS;Premium;Morning;40,6;Medium;30,43;Medium
U1716;35;Adults;Canada;Spotify;Pop;4;423;Bad Bunny;Free;Morning;78,2;Very High;44,67;Medium
U1717;21;Young Adults;France;Deezer;Jazz;5,5;96;Taylor Swift;Free;Night;84,9;Very High;10,12;Low
U1718;60;Seniors;UK;Amazon Music;Reggae;9,4;380;Adele;Free;Night;44,7;Medium;38,82;Medium
U1719;55;Seniors;UK;YouTube;Jazz;9;410;Billie Eilish;Premium;Morning;28,7;Medium;75,56;Very High
U1720;52;Seniors;Brazil;Tidal;Rock;9,2;313;Adele;Free;Night;54,7;High;22,27;Low
U1721;37;Adults;South Korea;Tidal;Rock;4,4;203;Dua Lipa;Free;Morning;6,3;Low;70,69;High
U1722;50;Seniors;USA;Tidal;Jazz;1,5;474;Drake;Premium;Night;20,6;Low;62,31;High
U1723;59;Seniors;USA;Amazon Music;Classical;1,9;294;BTS;Free;Morning;72,3;High;68,39;High
U1724;55;Seniors;Australia;Tidal;Country;4,3;140;Drake;Free;Afternoon;52,1;High;40,92;Medium
U1725;51;Seniors;Australia;YouTube;Jazz;9,7;267;Taylor Swift;Premium;Morning;60,1;High;11,08;Low
U1726;41;Adults;Australia;Spotify;Reggae;1,9;164;Bad Bunny;Premium;Night;88,1;Very High;60,61;High
U1727;28;Adults;Brazil;Tidal;Classical;5,2;148;Drake;Premium;Night;17,8;Low;30,55;Medium
U1728;45;Seniors;South Korea;Apple Music;Reggae;2,7;325;Dua Lipa;Premium;Night;26,9;Medium;53,33;High
U1729;22;Young Adults;Japan;Spotify;Classical;2,5;245;Billie Eilish;Premium;Night;65,4;High;35,55;Medium
U1730;25;Adults;Germany;Deezer;Metal;5,1;410;Billie Eilish;Premium;Morning;37,4;Medium;11,79;Low
U1731;28;Adults;France;Tidal;Metal;6;162;Adele;Free;Morning;82,1;Very High;7,74;Low
U1732;25;Adults;Canada;Spotify;Reggae;1,9;334;Ed Sheeran;Free;Morning;25,1;Medium;38,89;Medium
U1733;13;Youth;Australia;YouTube;EDM;0,5;35;Drake;Free;Morning;37,8;Medium;78,12;Very High
U1734;53;Seniors;Australia;Deezer;Rock;7,8;426;Ed Sheeran;Premium;Morning;33,7;Medium;10,19;Low
U1735;36;Adults;Canada;Tidal;Hip-Hop;8,1;492;Post Malone;Premium;Afternoon;18,7;Low;66,08;High
U1736;47;Seniors;Germany;Spotify;R&B;4,1;318;Billie Eilish;Free;Night;47,3;Medium;71,78;High
U1737;17;Youth;Japan;Tidal;Country;8,9;39;Post Malone;Premium;Afternoon;7,8;Low;30,79;Medium
U1738;42;Adults;France;Deezer;Rock;4,2;258;BTS;Free;Afternoon;27,7;Medium;41,03;Medium
U1739;38;Adults;Australia;YouTube;Jazz;4;196;Bad Bunny;Premium;Night;45,4;Medium;46,24;Medium
U1740;20;Young Adults;UK;YouTube;Reggae;7,8;494;Ed Sheeran;Free;Morning;60,4;High;15,37;Low
U1741;18;Young Adults;UK;YouTube;Country;6,6;203;Ed Sheeran;Free;Night;49,6;Medium;26,04;Medium
U1742;20;Young Adults;South Korea;Spotify;R&B;6,4;16;Billie Eilish;Free;Morning;2,7;Low;15,92;Low
U1743;60;Seniors;Australia;Amazon Music;EDM;5,2;401;Ed Sheeran;Free;Morning;40,4;Medium;9,78;Low
U1744;56;Seniors;France;Spotify;Rock;10;375;Bad Bunny;Free;Night;28,8;Medium;15,63;Low
U1745;13;Youth;France;YouTube;Metal;9,9;410;Bad Bunny;Free;Morning;76,7;Very High;19,45;Low
U1746;21;Young Adults;USA;Amazon Music;Country;4,9;98;Taylor Swift;Premium;Morning;65,3;High;49,29;Medium
U1747;38;Adults;India;Deezer;Jazz;1,1;285;The Weeknd;Premium;Night;71,2;High;7,4;Low
U1748;26;Adults;Japan;Apple Music;Rock;6,5;105;Drake;Free;Morning;68,6;High;67,14;High
U1749;59;Seniors;Brazil;Spotify;Hip-Hop;7,1;455;Post Malone;Premium;Afternoon;64,3;High;50,46;High
U1750;42;Adults;South Korea;Deezer;Metal;7,6;306;Bad Bunny;Premium;Morning;38,1;Medium;6,07;Low
U1751;25;Adults;UK;Amazon Music;Jazz;5,2;481;Billie Eilish;Free;Night;69,8;High;4,8;Low
U1752;22;Young Adults;Canada;Apple Music;Country;2,9;371;Bad Bunny;Premium;Morning;51,6;High;62,26;High
U1753;29;Adults;France;Spotify;R&B;0,7;163;Billie Eilish;Free;Night;7,6;Low;10,92;Low
U1754;36;Adults;France;Spotify;Rock;1,2;64;Ed Sheeran;Free;Afternoon;70,9;High;39,42;Medium
U1755;50;Seniors;South Korea;Apple Music;Jazz;7,8;486;Post Malone;Premium;Morning;74,6;High;50,61;High
U1756;21;Young Adults;Brazil;Amazon Music;Reggae;8,8;486;BTS;Free;Night;43,2;Medium;66,15;High
U1757;14;Youth;Germany;YouTube;R&B;6;204;Taylor Swift;Premium;Morning;16,8;Low;0,88;Low
U1758;59;Seniors;France;Deezer;Classical;7,9;450;Dua Lipa;Free;Night;39,3;Medium;37,11;Medium
U1759;48;Seniors;South Korea;YouTube;Reggae;6,4;320;Ed Sheeran;Premium;Morning;6,3;Low;72,31;High
U1760;44;Seniors;Brazil;Deezer;Hip-Hop;5,9;316;The Weeknd;Premium;Morning;12,5;Low;52,68;High
U1761;35;Adults;France;Spotify;Pop;9,4;410;Bad Bunny;Free;Night;87,6;Very High;46,03;Medium
U1762;17;Youth;Brazil;YouTube;Metal;1;419;Taylor Swift;Premium;Night;59,6;High;39,29;Medium
U1763;50;Seniors;Germany;Tidal;Classical;7;25;Adele;Premium;Morning;14,4;Low;45,89;Medium
U1764;35;Adults;Germany;Amazon Music;Metal;9,8;236;Bad Bunny;Free;Afternoon;52,1;High;19,07;Low
U1765;26;Adults;Australia;Deezer;Rock;8,2;74;Post Malone;Free;Night;42,4;Medium;6,14;Low
U1766;55;Seniors;UK;Tidal;Jazz;7,6;132;BTS;Free;Afternoon;48,4;Medium;36,58;Medium
U1767;22;Young Adults;Australia;Deezer;Jazz;4;181;Drake;Free;Afternoon;39,9;Medium;76,48;Very High
U1768;57;Seniors;Brazil;Amazon Music;R&B;6,1;107;Bad Bunny;Free;Night;68;High;31,13;Medium
U1769;49;Seniors;Canada;YouTube;Classical;3,8;73;BTS;Free;Night;33,6;Medium;21,17;Low
U1770;29;Adults;France;Tidal;Hip-Hop;7,4;464;Drake;Free;Night;47;Medium;24,97;Low
U1771;33;Adults;France;YouTube;R&B;5,4;399;Adele;Premium;Morning;28,5;Medium;79,61;Very High
U1772;54;Seniors;UK;Spotify;Hip-Hop;6,2;223;Dua Lipa;Premium;Morning;66,7;High;37,68;Medium
U1773;37;Adults;Japan;Apple Music;Metal;5,4;15;Drake;Premium;Night;18,1;Low;20,86;Low
U1774;29;Adults;Brazil;Amazon Music;EDM;7,5;172;Bad Bunny;Free;Night;13,7;Low;3,39;Low
U1775;60;Seniors;Japan;Amazon Music;Classical;4,1;147;Dua Lipa;Free;Afternoon;20,7;Low;7,34;Low
U1776;58;Seniors;India;YouTube;EDM;9;433;Dua Lipa;Premium;Morning;38,5;Medium;13,53;Low
U1777;17;Youth;USA;Tidal;R&B;7,4;472;Drake;Free;Morning;16,6;Low;40,67;Medium
U1778;20;Young Adults;Australia;Tidal;Hip-Hop;8;129;Post Malone;Free;Afternoon;19,6;Low;34,29;Medium
U1779;45;Seniors;UK;Tidal;R&B;0,2;18;Ed Sheeran;Free;Night;47,2;Medium;6,21;Low
U1780;39;Adults;Brazil;Amazon Music;Metal;1;147;Dua Lipa;Free;Afternoon;5,3;Low;6,92;Low
U1781;13;Youth;UK;Tidal;Metal;3,3;2;Drake;Free;Morning;86,7;Very High;28,85;Medium
U1782;13;Youth;Australia;YouTube;R&B;1,7;1;Taylor Swift;Premium;Morning;53,3;High;77,12;Very High
U1783;29;Adults;UK;Deezer;Country;0,3;243;Bad Bunny;Free;Morning;57,8;High;24,37;Low
U1784;42;Adults;South Korea;Amazon Music;R&B;3;345;Billie Eilish;Free;Night;89,3;Very High;17,17;Low
U1785;15;Youth;South Korea;Amazon Music;Hip-Hop;5,9;425;Drake;Premium;Morning;86,8;Very High;48,81;Medium
U1786;19;Young Adults;Brazil;Amazon Music;Jazz;1,3;256;The Weeknd;Premium;Night;7,8;Low;40,95;Medium
U1787;13;Youth;Brazil;Amazon Music;Rock;9,8;470;Adele;Free;Morning;13,7;Low;17,31;Low
U1788;43;Adults;Brazil;Apple Music;Jazz;8,3;167;Post Malone;Free;Night;12;Low;2,77;Low
U1789;52;Seniors;Australia;YouTube;Metal;9,5;213;The Weeknd;Free;Morning;5,5;Low;7,16;Low
U1790;38;Adults;Germany;YouTube;EDM;7,9;79;BTS;Free;Night;45,4;Medium;23,17;Low
U1791;25;Adults;USA;Apple Music;Hip-Hop;6,3;171;Adele;Free;Morning;11,3;Low;22,57;Low
U1792;30;Adults;UK;Apple Music;R&B;2,5;204;Drake;Premium;Night;85,3;Very High;24,18;Low
U1793;25;Adults;Canada;YouTube;Rock;6,2;18;Post Malone;Free;Night;65,5;High;6,97;Low
U1794;43;Adults;Germany;Amazon Music;Hip-Hop;2,8;142;Taylor Swift;Free;Morning;40,2;Medium;77,54;Very High
U1795;29;Adults;South Korea;Deezer;Reggae;6,2;178;Ed Sheeran;Free;Night;8,5;Low;7,21;Low
U1796;54;Seniors;India;Spotify;Classical;3,2;256;Drake;Premium;Night;67;High;2,39;Low
U1797;40;Adults;South Korea;Amazon Music;Hip-Hop;6,7;484;Billie Eilish;Premium;Morning;73;High;24,56;Low
U1798;60;Seniors;Canada;Tidal;Metal;3,2;271;Bad Bunny;Free;Night;49,8;Medium;67,56;High
U1799;42;Adults;Australia;Tidal;Pop;7,9;348;Bad Bunny;Free;Night;11,3;Low;40,18;Medium
U1800;17;Youth;Japan;Deezer;Metal;4,7;79;Taylor Swift;Free;Afternoon;43,8;Medium;6,97;Low
U1801;24;Young Adults;Brazil;YouTube;Metal;2,5;110;Ed Sheeran;Free;Night;5,1;Low;34,81;Medium
U1802;18;Young Adults;India;YouTube;Hip-Hop;4,9;341;Dua Lipa;Free;Night;86,6;Very High;47,02;Medium
U1803;34;Adults;Australia;Tidal;Hip-Hop;6,6;78;Billie Eilish;Premium;Afternoon;16,1;Low;50,67;High
U1804;20;Young Adults;USA;Amazon Music;Rock;3,3;314;Taylor Swift;Premium;Morning;80,4;Very High;9,14;Low
U1805;57;Seniors;Brazil;Tidal;EDM;1,6;157;Ed Sheeran;Free;Night;87,4;Very High;42,48;Medium
U1806;34;Adults;France;Spotify;Jazz;1,7;441;Bad Bunny;Premium;Night;16,6;Low;75,55;Very High
U1807;30;Adults;Brazil;Deezer;EDM;4,9;308;Adele;Free;Night;57,7;High;39,06;Medium
U1808;24;Young Adults;UK;Tidal;R&B;9;137;Billie Eilish;Premium;Night;52,9;High;9,42;Low
U1809;25;Adults;Germany;YouTube;R&B;6;244;Taylor Swift;Free;Morning;21,4;Low;74,14;High
U1810;56;Seniors;India;Spotify;EDM;5,9;60;Post Malone;Premium;Night;72;High;74,68;High
U1811;53;Seniors;Canada;Deezer;Reggae;6,4;453;Ed Sheeran;Premium;Afternoon;35,6;Medium;43,51;Medium
U1812;21;Young Adults;UK;Apple Music;EDM;0,5;397;Ed Sheeran;Free;Morning;74,2;High;46,33;Medium
U1813;29;Adults;Brazil;Deezer;Metal;1,9;384;Dua Lipa;Premium;Afternoon;66,2;High;66,23;High
U1814;46;Seniors;Canada;Amazon Music;Rock;5,4;99;Drake;Free;Afternoon;74,5;High;61,15;High
U1815;14;Youth;USA;Deezer;Hip-Hop;7,9;441;Post Malone;Premium;Night;68,3;High;15,21;Low
U1816;39;Adults;Germany;Spotify;Hip-Hop;1,4;456;Dua Lipa;Premium;Afternoon;50,6;High;41,06;Medium
U1817;34;Adults;South Korea;YouTube;Reggae;8;479;BTS;Premium;Morning;39,9;Medium;30,56;Medium
U1818;26;Adults;Australia;Apple Music;Metal;1,7;144;Bad Bunny;Free;Night;81,8;Very High;62,51;High
U1819;59;Seniors;France;Amazon Music;Pop;0,9;468;Bad Bunny;Free;Afternoon;76,2;Very High;68,36;High
U1820;19;Young Adults;Brazil;Apple Music;EDM;0,6;444;Drake;Free;Morning;39,7;Medium;27,94;Medium
U1821;50;Seniors;Brazil;Deezer;Country;8,2;1;Taylor Swift;Premium;Afternoon;9;Low;57,03;High
U1822;40;Adults;Canada;Amazon Music;R&B;8,3;395;Bad Bunny;Premium;Afternoon;52,1;High;47,62;Medium
U1823;35;Adults;UK;Deezer;Classical;9,9;13;BTS;Premium;Morning;27,7;Medium;64,63;High
U1824;33;Adults;France;Apple Music;Jazz;1,3;131;Adele;Free;Morning;64,3;High;73,03;High
U1825;53;Seniors;UK;Tidal;Hip-Hop;8;187;Post Malone;Free;Night;55,3;High;23,01;Low
U1826;59;Seniors;Australia;Deezer;EDM;2,7;79;The Weeknd;Free;Night;8,1;Low;26,53;Medium
U1827;40;Adults;France;Spotify;Classical;4,3;12;Drake;Free;Morning;65,4;High;62,43;High
U1828;44;Seniors;Canada;Amazon Music;Rock;3,3;35;Drake;Free;Afternoon;20,9;Low;15,08;Low
U1829;20;Young Adults;South Korea;Deezer;Pop;2,6;377;Dua Lipa;Free;Night;81,1;Very High;63,88;High
U1830;33;Adults;Japan;Deezer;Reggae;9;302;Dua Lipa;Premium;Night;50,7;High;56,53;High
U1831;16;Youth;UK;YouTube;Rock;7,3;256;Post Malone;Free;Night;37,1;Medium;40,75;Medium
U1832;52;Seniors;UK;Deezer;Metal;2,5;377;Drake;Free;Afternoon;73,7;High;42,41;Medium
U1833;26;Adults;USA;Tidal;Reggae;4,4;410;The Weeknd;Free;Night;1,7;Low;57,48;High
U1834;25;Adults;Brazil;YouTube;R&B;3,3;337;Post Malone;Premium;Morning;80,6;Very High;2,69;Low
U1835;58;Seniors;Brazil;Tidal;Reggae;1,5;378;The Weeknd;Premium;Night;25,9;Medium;74,39;High
U1836;55;Seniors;UK;YouTube;EDM;7,1;363;Ed Sheeran;Premium;Night;56,6;High;62,77;High
U1837;24;Young Adults;India;Tidal;Jazz;9,2;479;BTS;Free;Night;69,4;High;73,52;High
U1838;31;Adults;India;Amazon Music;Jazz;7,8;15;Post Malone;Free;Morning;54,4;High;54,62;High
U1839;29;Adults;India;Tidal;EDM;7,6;137;Dua Lipa;Premium;Afternoon;42,2;Medium;49,34;Medium
U1840;37;Adults;France;Apple Music;Classical;5,8;58;Post Malone;Premium;Morning;28,4;Medium;7,46;Low
U1841;30;Adults;Brazil;YouTube;Jazz;9;91;Adele;Free;Morning;50,3;High;74,93;High
U1842;34;Adults;France;Amazon Music;Metal;2,6;365;Ed Sheeran;Premium;Morning;56,1;High;74,54;High
U1843;20;Young Adults;India;Deezer;R&B;1;157;BTS;Free;Night;56,3;High;30,97;Medium
U1844;19;Young Adults;South Korea;YouTube;Classical;1,4;5;Drake;Free;Afternoon;46,9;Medium;37,62;Medium
U1845;21;Young Adults;USA;Amazon Music;Classical;7,8;453;Drake;Free;Afternoon;23,9;Low;59,73;High
U1846;43;Adults;France;Amazon Music;Reggae;2,2;174;Billie Eilish;Premium;Afternoon;46,4;Medium;70,62;High
U1847;59;Seniors;USA;Spotify;Metal;2,8;200;Dua Lipa;Premium;Morning;38,1;Medium;10,49;Low
U1848;17;Youth;South Korea;Apple Music;Pop;9,8;171;Bad Bunny;Premium;Night;27,7;Medium;32,03;Medium
U1849;42;Adults;UK;Deezer;Rock;6,4;369;BTS;Free;Morning;48;Medium;2,97;Low
U1850;24;Young Adults;India;Apple Music;R&B;0,2;253;Drake;Premium;Night;69,9;High;74,01;High
U1851;29;Adults;Japan;Deezer;Reggae;5,2;18;Bad Bunny;Premium;Night;1,3;Low;25,65;Medium
U1852;60;Seniors;UK;Tidal;R&B;0,5;157;The Weeknd;Free;Morning;80,5;Very High;38,07;Medium
U1853;49;Seniors;France;Amazon Music;Jazz;0,8;451;Adele;Free;Morning;74,1;High;53,86;High
U1854;19;Young Adults;France;Tidal;Reggae;7,9;373;Adele;Premium;Afternoon;47,1;Medium;64,69;High
U1855;58;Seniors;Germany;Spotify;Classical;7,9;272;Dua Lipa;Premium;Morning;33,6;Medium;18,09;Low
U1856;56;Seniors;France;YouTube;Country;3,8;39;Dua Lipa;Premium;Night;42,5;Medium;6,33;Low
U1857;57;Seniors;Canada;Spotify;Metal;3,9;384;Ed Sheeran;Premium;Morning;43,4;Medium;46,45;Medium
U1858;47;Seniors;Australia;Deezer;Jazz;1,9;15;BTS;Free;Afternoon;21;Low;66,81;High
U1859;32;Adults;India;Deezer;Jazz;2,2;274;Ed Sheeran;Premium;Morning;50,7;High;40,36;Medium
U1860;15;Youth;Canada;Amazon Music;Rock;9,6;408;Billie Eilish;Premium;Night;7,7;Low;30,58;Medium
U1861;47;Seniors;Australia;Tidal;Metal;1,5;122;Dua Lipa;Premium;Afternoon;67;High;57,87;High
U1862;55;Seniors;India;Tidal;Hip-Hop;1,5;376;Post Malone;Free;Morning;18,8;Low;16,22;Low
U1863;28;Adults;India;Amazon Music;Reggae;7,1;173;Post Malone;Premium;Night;80,8;Very High;27,08;Medium
U1864;32;Adults;UK;Apple Music;Country;2,1;78;Post Malone;Premium;Afternoon;21,6;Low;23,72;Low
U1865;37;Adults;UK;Tidal;Jazz;3,9;239;Drake;Free;Afternoon;76,1;Very High;32,44;Medium
U1866;32;Adults;Australia;Apple Music;R&B;7;22;Adele;Free;Night;79,3;Very High;51,61;High
U1867;25;Adults;India;YouTube;Reggae;5,8;8;Adele;Premium;Morning;36,6;Medium;58,82;High
U1868;40;Adults;Brazil;Amazon Music;Metal;4,8;106;BTS;Premium;Morning;11,3;Low;24,88;Low
U1869;34;Adults;Australia;Amazon Music;R&B;1,7;114;BTS;Free;Night;29,9;Medium;51,43;High
U1870;48;Seniors;France;Tidal;Hip-Hop;5,1;499;Bad Bunny;Free;Afternoon;47,4;Medium;52,13;High
U1871;35;Adults;Germany;Deezer;Reggae;9,2;421;Drake;Premium;Afternoon;67,6;High;36,97;Medium
U1872;51;Seniors;UK;YouTube;Metal;7,6;93;Dua Lipa;Premium;Afternoon;54,7;High;20,76;Low
U1873;49;Seniors;Australia;Spotify;Rock;6,8;369;Billie Eilish;Premium;Afternoon;7,3;Low;64,89;High
U1874;25;Adults;Australia;YouTube;Metal;9,2;432;The Weeknd;Free;Morning;69,8;High;21,96;Low
U1875;17;Youth;Brazil;Amazon Music;Country;8,7;427;Adele;Premium;Morning;71,6;High;75,49;Very High
U1876;58;Seniors;Canada;Amazon Music;Rock;7,6;109;Drake;Premium;Night;77,5;Very High;68,72;High
U1877;39;Adults;Brazil;Deezer;Pop;0,2;202;Post Malone;Premium;Afternoon;49;Medium;43,88;Medium
U1878;56;Seniors;Canada;Spotify;Classical;6,9;396;Taylor Swift;Premium;Night;44,2;Medium;25,19;Medium
U1879;50;Seniors;India;Apple Music;Classical;3,8;88;Ed Sheeran;Premium;Morning;30,1;Medium;9,94;Low
U1880;28;Adults;Brazil;Amazon Music;R&B;5,6;312;Post Malone;Premium;Morning;61,7;High;4,98;Low
U1881;55;Seniors;Germany;Apple Music;R&B;9,4;63;Billie Eilish;Free;Morning;68,8;High;13,62;Low
U1882;17;Youth;Japan;Amazon Music;Hip-Hop;1,2;238;BTS;Premium;Night;75,4;Very High;67,55;High
U1883;37;Adults;Australia;Tidal;Pop;3,5;306;Bad Bunny;Premium;Morning;56,7;High;28,55;Medium
U1884;13;Youth;Germany;Tidal;Pop;8;83;BTS;Premium;Night;57,5;High;12,63;Low
U1885;13;Youth;USA;Amazon Music;Reggae;0,2;15;Post Malone;Free;Afternoon;82,1;Very High;5,79;Low
U1886;43;Adults;France;Deezer;Pop;0,2;299;Post Malone;Premium;Morning;88,9;Very High;69,69;High
U1887;59;Seniors;South Korea;Spotify;Hip-Hop;0,5;15;Billie Eilish;Free;Afternoon;69,3;High;36,17;Medium
U1888;43;Adults;India;Apple Music;Classical;2,2;151;Adele;Premium;Morning;49,6;Medium;51,74;High
U1889;60;Seniors;Australia;Deezer;R&B;9,8;294;BTS;Premium;Morning;34,3;Medium;10,04;Low
U1890;45;Seniors;Brazil;Tidal;Reggae;0,7;495;BTS;Free;Night;10,4;Low;24,65;Low
U1891;39;Adults;Canada;Tidal;Pop;4,1;311;BTS;Free;Morning;32,2;Medium;7,39;Low
U1892;17;Youth;USA;Tidal;EDM;0,6;265;Taylor Swift;Free;Night;20,9;Low;47,79;Medium
U1893;21;Young Adults;Japan;Spotify;Reggae;4;32;The Weeknd;Free;Afternoon;24,9;Low;57,76;High
U1894;29;Adults;France;Spotify;Jazz;8,2;326;Drake;Free;Morning;63,8;High;7,91;Low
U1895;22;Young Adults;Japan;Spotify;Metal;2,3;384;Ed Sheeran;Premium;Afternoon;52;High;76,04;Very High
U1896;60;Seniors;Brazil;Deezer;R&B;2,1;38;BTS;Free;Afternoon;27,6;Medium;22,05;Low
U1897;31;Adults;Brazil;Deezer;Jazz;7,6;32;Taylor Swift;Free;Morning;16,6;Low;11,87;Low
U1898;18;Young Adults;South Korea;Apple Music;Metal;4,6;165;Bad Bunny;Free;Morning;87,4;Very High;11,26;Low
U1899;31;Adults;France;Spotify;Pop;5,7;437;BTS;Premium;Night;25,9;Medium;78,08;Very High
U1900;19;Young Adults;USA;Amazon Music;EDM;9,7;448;Bad Bunny;Free;Night;28,4;Medium;50,86;High
U1901;25;Adults;Australia;Tidal;Pop;4,7;425;Drake;Premium;Afternoon;23,9;Low;1,68;Low
U1902;38;Adults;South Korea;YouTube;Metal;8,9;459;Bad Bunny;Premium;Morning;38,6;Medium;66,59;High
U1903;59;Seniors;France;Tidal;Pop;8,7;495;Drake;Free;Night;84,3;Very High;1,6;Low
U1904;29;Adults;UK;Amazon Music;Pop;1,1;400;Drake;Premium;Morning;20;Low;7,09;Low
U1905;34;Adults;Canada;Spotify;Pop;5,6;41;The Weeknd;Premium;Morning;75,3;Very High;40,92;Medium
U1906;41;Adults;Brazil;Tidal;Classical;5,5;158;Dua Lipa;Free;Morning;49,6;Medium;46,08;Medium
U1907;28;Adults;Germany;Spotify;R&B;8,9;93;Taylor Swift;Premium;Night;89;Very High;66,97;High
U1908;58;Seniors;South Korea;Deezer;Country;5;68;Adele;Free;Night;4,8;Low;39,11;Medium
U1909;43;Adults;Japan;Amazon Music;Country;8,6;446;Adele;Premium;Morning;85,8;Very High;64,99;High
U1910;24;Young Adults;Brazil;Deezer;Pop;5,3;451;Post Malone;Free;Afternoon;13,7;Low;34,15;Medium
U1911;27;Adults;India;Deezer;Rock;0,4;162;BTS;Free;Morning;68,5;High;35,12;Medium
U1912;23;Young Adults;South Korea;YouTube;Reggae;7,6;438;Drake;Premium;Night;38,3;Medium;25,73;Medium
U1913;35;Adults;Brazil;Apple Music;Pop;6,3;341;BTS;Premium;Night;61,5;High;43,76;Medium
U1914;50;Seniors;Germany;Deezer;Hip-Hop;0,2;490;Taylor Swift;Premium;Afternoon;17;Low;29,59;Medium
U1915;40;Adults;Germany;Apple Music;EDM;8,4;185;Bad Bunny;Premium;Night;11,2;Low;41,53;Medium
U1916;49;Seniors;Japan;Spotify;Rock;2,1;305;Drake;Premium;Morning;62,4;High;6,81;Low
U1917;17;Youth;South Korea;Tidal;Jazz;2,8;226;BTS;Premium;Morning;20,7;Low;6,6;Low
U1918;27;Adults;Canada;Apple Music;Hip-Hop;1,1;113;Drake;Free;Afternoon;12,5;Low;6,72;Low
U1919;18;Young Adults;Japan;Spotify;Classical;5,3;434;Adele;Free;Morning;19,2;Low;29,64;Medium
U1920;30;Adults;India;Spotify;Reggae;3,5;316;Adele;Free;Afternoon;46;Medium;73,61;High
U1921;14;Youth;Germany;YouTube;Jazz;3,9;332;Bad Bunny;Free;Night;82,2;Very High;50,73;High
U1922;28;Adults;USA;Spotify;Metal;0,3;35;Ed Sheeran;Premium;Night;79,7;Very High;35,48;Medium
U1923;60;Seniors;Japan;Deezer;Rock;6,7;109;Post Malone;Free;Morning;62,3;High;54,93;High
U1924;47;Seniors;South Korea;Spotify;Rock;8,7;162;Billie Eilish;Free;Night;62,5;High;36,53;Medium
U1925;23;Young Adults;UK;Deezer;Rock;7,3;388;Ed Sheeran;Premium;Morning;12,1;Low;47,22;Medium
U1926;47;Seniors;Brazil;Tidal;Hip-Hop;4,5;90;Taylor Swift;Free;Night;76,9;Very High;69,21;High
U1927;55;Seniors;France;Amazon Music;EDM;7,5;186;Taylor Swift;Premium;Afternoon;30,5;Medium;37,33;Medium
U1928;42;Adults;Canada;Deezer;EDM;9,3;358;The Weeknd;Free;Night;11,5;Low;32,72;Medium
U1929;32;Adults;Brazil;YouTube;R&B;6,8;259;Drake;Premium;Afternoon;3,4;Low;59,69;High
U1930;42;Adults;USA;Spotify;Rock;1,4;289;Taylor Swift;Premium;Night;24,3;Low;18,98;Low
U1931;18;Young Adults;India;YouTube;Classical;2,5;264;Ed Sheeran;Premium;Afternoon;33,8;Medium;18,72;Low
U1932;23;Young Adults;Brazil;Tidal;R&B;7,3;320;Dua Lipa;Free;Night;2,9;Low;17,93;Low
U1933;41;Adults;France;YouTube;Jazz;5,7;34;The Weeknd;Premium;Morning;37,8;Medium;1,23;Low
U1934;43;Adults;India;Spotify;Country;3,9;164;Billie Eilish;Premium;Night;49,8;Medium;41,61;Medium
U1935;50;Seniors;UK;Spotify;R&B;7,2;231;Adele;Free;Afternoon;72,1;High;71,46;High
U1936;17;Youth;India;Deezer;Classical;4,5;241;Post Malone;Free;Night;39,5;Medium;58,36;High
U1937;15;Youth;UK;YouTube;Country;3,9;395;Adele;Free;Night;10,6;Low;43,45;Medium
U1938;13;Youth;Japan;YouTube;Country;7,1;109;Dua Lipa;Free;Night;37,5;Medium;13,62;Low
U1939;49;Seniors;Japan;Deezer;EDM;3;449;Bad Bunny;Premium;Morning;71,3;High;4,33;Low
U1940;29;Adults;UK;Apple Music;Classical;7,1;229;Post Malone;Premium;Morning;12;Low;59,49;High
U1941;24;Young Adults;Germany;YouTube;Pop;9;381;Adele;Free;Afternoon;19,5;Low;3,6;Low
U1942;31;Adults;Germany;Amazon Music;Reggae;4,2;27;The Weeknd;Free;Afternoon;61,1;High;31,54;Medium
U1943;25;Adults;UK;Amazon Music;Classical;1,8;431;Ed Sheeran;Premium;Night;24,5;Low;61,38;High
U1944;46;Seniors;UK;YouTube;Rock;4,6;321;Bad Bunny;Premium;Night;80;Very High;41,47;Medium
U1945;27;Adults;India;Amazon Music;Pop;2;214;Billie Eilish;Free;Night;55,8;High;65,93;High
U1946;24;Young Adults;Germany;YouTube;Jazz;3,8;409;Billie Eilish;Premium;Afternoon;28,9;Medium;57,21;High
U1947;35;Adults;South Korea;Amazon Music;Jazz;1,8;251;The Weeknd;Free;Morning;50,5;High;10,54;Low
U1948;32;Adults;South Korea;Deezer;Country;3,5;292;Ed Sheeran;Free;Afternoon;45,6;Medium;31,35;Medium
U1949;54;Seniors;India;YouTube;Rock;4,9;296;Taylor Swift;Free;Night;7,8;Low;36,68;Medium
U1950;52;Seniors;USA;Amazon Music;R&B;5,5;54;BTS;Premium;Morning;30,8;Medium;34,53;Medium
